Timestamp,Age,Gender,Occupation,Home State,Language,School (If college student),Program enrolled,Factors affecting mental health,Areas of mental health concerns,"Escape Hours: Your Safe Space
A place where little things bring you peace, joy, comfort, helps to recharge, and find happiness.",What's your mental health status?,How would you scale your sensitivity?,"If you鈥檙e not feeling happy, or if you鈥檙e feeling low, what do you think is the biggest key reason behind it?","When you鈥檙e going through tough moments, what kind of comfort or support do you wish for from others?","Have you ever consulted a doctor that you鈥檙e dealing with a mental health issue? If yes, did you take help of medication or professional guidance?",How did you look after yourself and your mental health?,What do you feel now or what's your point of view about life when you have overcome your depressed phase?,If you have faced panic attacks/anxiety attack/other depression symptoms how you have faced it?,Do you find it easy to share your emotions and feelings with others?,If you have used AI platforms to share breakdown moments how did it respond?,"Compared to talking with friends, family, or professionals, how effective do you find AI in providing mental health support?","To what extent do you find AI helpful in managing stress, anxiety, or overall mental health?","If you have experienced bias in AI responses (e.g., stereotypes, insensitive replies based on your gender), please describe it briefly.",What improvement/what way AI should have responded to reach your emotions and thoughts?,Few words you would like to share which might help and encourage others
2025/10/11 11:16:49 am GMT+5:30,20,Female,Student,Jharkhand,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH (COMPUTER SCIENCE ENGINEERING & BUSINESS SYSTEMS),Family,Stress;Self harm tendencies;Post traumatic stress disorder,Music,2,3,No will to live,Nothing,No,I don鈥檛,I feel life is meaningless and purposeless and nothing matters,Nope,Maybe,Very positively,Much more effective,Extremely helpful,I haven't,"No improvement. It just comforts me to know that it's just a machine and prolly won't judge me. I rant out to it just to get things off my chest, I don't seek anything in return ","I can't encourage others, not at least now"
2025/10/11 11:51:50 am GMT+5:30,20,Male,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic;Family;Societal culture and discrimination;Unequal freedom in choosing career paths;Double standards in freedom;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Sleep issues;Low self esteem/motivation;Phobias;Anger;Obsessive compulsive disorder (OCD);Post traumatic stress disorder,Any empty river side,5,2,I am not good enough,Honesty,No,By Journaling,Everyone has their own destiny and they can't change that,I dont,No,Positively,Somewhat effective,Neutral,Always sugarcoating everything,Train them with the help of professional therapists,Quiting is not an option
2025/10/11 12:34:59 pm GMT+5:30,20,Female,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH (COMPUTER SCIENCE ENGINEERING & BUSINESS SYSTEMS),Academic;Love/Relationship;Friendship/social circles;Health issues;Financial independence,Depression;Anxiety / Panic attacks;Stress;Loneliness;Low self esteem/motivation;Anger,Some one with whom I feel safe,3,3,Love and relationships and lonelyness,Some one who care for me,No,I don't know,Life is good and easy,"I am crying a lot, feel lonely, feeling helpless ",Maybe,Neutral,Less effective,Not very helpful,"Yes, because it's manipulating me",There is no improvement,I think depression is a common thing is this time but overcome it and make easy
2025/10/11 1:14:06 pm GMT+5:30,20,Female,Student,West Bengal,Bengali,SCHOOL OF LIBERAL ARTS AND CULTURE STUDIES,B.A HISTORY,Academic;Family;Friendship/social circles;Physical appearance;Sexuality and identity;Unequal freedom in choosing career paths;Double standards in freedom;Media or social representation;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Loneliness;Low self esteem/motivation;Obsessive compulsive disorder (OCD),"It's not a place but rather a person. Whenever I want to share about anything, I go to my sister. She helps me withstand the tough times. ",3,5,I often find that I am way behind others in life and academics as compared to others. I also feel dejected when I remember how I have failed to form any meaningful connections with other people.,"I wish people would listen, wholeheartedly and intentionally.",No,"To put it clearly, I have neglected myself a lot in this regard and put others' problems and their needs first. Although this is how things are most of the time, whenever I felt severely depressed I tried to make room for extra sleep and indulge in some of my favourite activities and media. ","It doesn't get better, at least for me. I only got used to it.","I tend to isolate myself and ignore my needs and wants. I excessively doomscroll and often end up regretting it. However, after sometime I try to make my understand that I have to face it and I can overcome it. There's no other way.",No,Neutral,Much Less effective,Not at all helpful,Not applicable,Not applicable,"You must become the one that will save you. You are important and you matter, always. "
2025/10/11 1:24:30 pm GMT+5:30,16,Female,Student,Karnataka,Kannada,Not applicable,Not applicable,Academic;Love/Relationship;Friendship/social circles;Health issues;Physical appearance,Depression;Anxiety / Panic attacks;Self harm tendencies;Sleep issues,My own house,4,4,Now I am happy for my family support,My wish thay understand me,Consulted doctor and took help of medication,"To pass the time with family, who support me always ",Now I am happy,Shareing with family,Yes,Positively,Less effective,Somewhat helpful,I don't do it,AI responses should be more sensitive,Never give up during tough times
2025/10/11 2:07:11 pm GMT+5:30,24,Male,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Physical appearance,Depression,Parents,1,5,"People judge me for how I look , people react badly",I only talk to my parents for motivating me,Consulted doctor and took help of medication,I talk with those people who suffer from the same thing or worse and also motivate myself everyday,No matter what will happen in future I will go ahead and fullfill my dreams,I took medication for focusing on myself and escaping from all of these,No,Positively,Somewhat effective,Somewhat helpful,"Yes,I felt it specially when it comes to physical appearance some AI gave much more affective advices as they think girls' physical appearance matters more",Stop gender biasness,Just don't get depressed for people judging you
2025/10/11 3:05:25 pm GMT+5:30,21,Male,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH ELECTRICAL ENGINEERING,Academic;Love/Relationship;Physical appearance;Societal culture and discrimination;Double standards in freedom;Negative experiences (bully/harrasment);Work,Depression;Anxiety / Panic attacks;Stress;Sleep issues;Loneliness;Low self esteem/motivation;Anger,My room,5,3,Tension and anxiety / bad performance,Physical support,No,Sleep,Satisfied,Nil,No,Neutral,Somewhat effective,Neutral,Never tried it,Never tried,Just live the life
2025/10/11 6:31:55 pm GMT+5:30,20,Male,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic;Family;Love/Relationship;Friendship/social circles;Health issues;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Sleep issues;Phobias,Listening to songs,8,3,Depends,Advices to overcome,No,Listening to songs,Sick,Ya,Maybe,Neutral,Less effective,Not very helpful,No comments,馃樁鈥嶐煂笍,馃か
2025/10/11 7:26:52 pm GMT+5:30,21,Female,Student,Jharkhand,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic;Overthinking/isolation/self-worth struggles,Depression;Stress,Family talk time,7,4,"If I am not feeling happy or feeling low ,the biggest key reason behind it is that due to academic pressure and when I think about my future that I will get success or not .","When I am going through tough moments the kind of comfort or support I wish for from others is that be with me,talk with me ,etc .",No,"I looked after myself and my mental health by taking breaks, staying positive, and practicing self care regularly.",now i feel that life is more precious enjoy every moment and face every chance with courage .,"If I had faced panic attacks/anxiety attack/other depression symptoms that i had faced it is that I had got rapid heartbeat,shortness of breadth,sweathing,etc. ",Maybe,Positively,Somewhat effective,Somewhat helpful,"I haven鈥檛 personally experienced bias, but I believe AI should always respond respectfully, without stereotypes or assumptions about anyone鈥檚 gender or identity.","AI should respond with empathy, understanding, and respect鈥攂y listening carefully, using supportive language, and acknowledging emotions without judgment.","Never lose hope 鈥� every dark phase passes; believe in yourself, keep moving forward, and brighter days will come."
2025/10/11 7:59:24 pm GMT+5:30,18,Male,student,Bihar,Hindi,Others,Others,Physical appearance;Societal culture and discrimination;Negative experiences (bully/harrasment),Depression;Anxiety / Panic attacks,by being with the parents.,6,3,loneiness,"be with me ,support and care.",No,by making myself comfortable.,don't waste time by listing to others because paste time will never come.,"my breath become slow ,and heartbeat become fast.",Maybe,Positively,Somewhat effective,Somewhat helpful,I have experienced bias in AI responses where replies seemed stereotypical or insensitive based on my gender. It made me feel hurt and misunderstood.,"AI should respond with empathy, understanding, and respect鈥攂y listening carefully, using supportive language, and acknowledging emotions without judgment.",believe in yourself and keep moving forward.
2025/10/11 8:25:23 pm GMT+5:30,19,Male,student,Odisha,Odia,SCHOOL OF BUSINESS,BBA,Family;Physically disabled,Depression;Anxiety / Panic attacks;Stress,by taking drugs,9,4,the key reason behind is that by getting bully from my school about my mother disability.,that they should support me.,Consulted doctor but didn't take medication help,by making myself comfort by doing some activity.,nothing,feeling low that time.,Maybe,Very positively,Much more effective,Somewhat helpful,"""I experienced bias in an AI response where it made assumptions or provided insensitive replies based on my gender, such as stereotyping roles or behavior typically associated with women. This made the interaction feel unfair and not fully personalized.""",it give fair answer to every question of mine.,face every problem by believing in yourself till the brighter days come.
2025/10/11 11:46:17 pm GMT+5:30,18,Female,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING (DATA SCIENCE),Love/Relationship,Stress,Music,5,3,Stress,Alone,Consulted doctor but didn't take medication help,Meditating,Stronger and more possesive,Deep breathing,Maybe,Neutral,Same,Somewhat helpful,No major bias,Ai should sound more empathetic,Keep believing in yourself
2025/10/11 11:55:37 pm GMT+5:30,16,Female,Student,West Bengal,Bengali,Not applicable,Not applicable,Academic;Family;Love/Relationship;Health issues;Societal culture and discrimination;Unequal freedom in choosing career paths;Double standards in freedom;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Stress;Sleep issues;Low self esteem/motivation;Anger;Obsessive compulsive disorder (OCD),"Stars, moon, rain, balcony",2,3,"Why no one is actually mine, don't i deserve love",I isolate myself in tough time,No,"Nothing just made fake sceneries, fake hope and faith that everything will be alright ",Not overcome yet,Just went through it,No,Neutral,Less effective,Somewhat helpful,No,More sensitivity and emotions,Just keep going
2025/10/12 12:05:05 am GMT+5:30,20,Female,Student,Maharashtra,Marathi,SCHOOL OF BUSINESS,BBA,Academic;Love/Relationship;Overthinking/isolation/self-worth struggles,Stress;Sleep issues;Loneliness,"Web series, reels ",6,3,"Not giving everything i have in studies, not a single constant warming person to talk ","Shoulder to rest on , hug",No,Sit doing nothing,Going through it,Nop,Maybe,Neutral,Less effective,Somewhat helpful,"No matter what u say, your answer is validated , no correct or single response, answer changes whenever es ",More empathy with practicality,Love yourself
2025/10/12 12:32:59 am GMT+5:30,21,Male,student,Goa,Hindi,Others,Others,Friendship/social circles;Health issues;Overthinking/isolation/self-worth struggles,Depression;Loneliness;feeling isolated and rejected,used support services.,9,4,"the biggest behind it is that by coming in and out of the hosiptal,missed a long time of school,emotinal toll from medical and social neglect,etc.",i want support from others,Consulted doctor but didn't take medication help,by making myself comfortable not to worry to much,i feel that face every negative thing with a postive thoughts because every thing give some lesson to learn.,by feeling very low,No,Positively,Same,Neutral,no,by giving fair answer to my every question .,"face struggles,problem with a postive attitude then only you can overcome with negative impact."
2025/10/12 12:59:54 am GMT+5:30,20,Male,Student,Bihar,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING (CLOUD COMPUTING),Sexuality and identity,Phobias,Sea point,10,5,Future,Friend,Consulted doctor and took help of medication,Normal,Very Bad,Anxiety,Maybe,Neutral,Same,Not at all helpful,Replies based,Not,No
2025/10/12 1:03:43 am GMT+5:30,22,Female,student,Jharkhand,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Love/Relationship,Depression;Stress;Loneliness,by being with someone who listen to me that time feel little peace and comfort.,7,5,the key behind it is that i think too much.,that they understand me and be with me and give me some listen to make me comfortable and happy,No,"by making myself busy with my works ,study and not to be alone.",i feel that any thing happen for some reason which gives you a lesson to learn.,i feel that time very low and becoming very emtional.,Yes,Positively,Same,Somewhat helpful,"Sometimes AI responses seem to assume that women are more emotional or sensitive, which feels stereotypical. Instead of understanding my situation, it gave generic advice without empathy.","AI should have responded with more understanding and compassion, acknowledging my emotions and offering gentle, non-judgmental support instead of giving robotic or generalized advice","No matter how hard things get, remember that your feelings are valid. Healing takes time鈥攆ocus on self-love, talk to trusted people, and never lose hope. You are stronger than you think. 馃挏"
2025/10/12 1:18:43 am GMT+5:30,25,Female,Student,West Bengal,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Physically disabled,Stress,"Family,friends",2,5,My career as a photographer is getting affected,I ask for giving motivations,Consulted doctor and took help of medication,Watch motivational videos where people ae suffering from these type of physical disabilities but still doing great,There are so much things I have to achieve in life and my success got shaped by past challenges,Listening songs and taking help of therapists,No,Very positively,Somewhat effective,Somewhat helpful,I have not experienced that much but I think AI respond more positively for female users,AI should have responded accordingly for particular situation and give more accurate response,I shaped myself from my past challenges so everyone should get inspired by mistakes
2025/10/12 1:20:58 am GMT+5:30,20,Female,College Student,Andhra Pradesh,Telugu,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH MECHANICAL ENGINEERING,Love/Relationship;Sexuality and identity,Anger,Free space,4,3,Feel low,No,Consulted doctor but didn't take medication help,No,No,Yes,Maybe,Very negatively,Much Less effective,Neutral,No,No,No
2025/10/12 1:24:07 am GMT+5:30,28,Male,Student,Delhi,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH ELECTRICAL ENGINEERING,Academic,Anxiety / Panic attacks,No,8,4,Not happy,Yes,No,No,Yes,No,Yes,Negatively,Less effective,Not very helpful,No,No,No
2025/10/12 1:26:36 am GMT+5:30,22,Female,College Students,Karnataka,Kannada,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH BIOMEDICAL ENGINEERING,Financial independence,Self harm tendencies,No,5,3,No,No,Consulted doctor and took help of medication,Yes,No,Yes,No,Neutral,Same,Neutral,No,Yes,No
2025/10/12 1:29:32 am GMT+5:30,26,Male,Student,Gujarat,Gujarati,SCHOOL OF EDUCATION,BCA,Love/Relationship,Stress,Yes,10,4,No,Yes,No,Yes,No,Yes,Maybe,Very negatively,Less effective,Not very helpful,No,No,No
2025/10/12 1:31:19 am GMT+5:30,30,Female,College Students,Haryana,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH ELECTRONICS AND COMMUNICATION ENGINEERING,Academic;Family;Love/Relationship;Friendship/social circles,Depression;Anxiety / Panic attacks;Stress,No,5,3,No,Yes,Consulted doctor but didn't take medication help,No,Yes,No,Maybe,Neutral,Less effective,Not very helpful,No,No,No
2025/10/12 1:33:21 am GMT+5:30,29,Female,Engineer,Himachal Pradesh,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Academic;Friendship/social circles;Sexuality and identity;Overthinking/isolation/self-worth struggles,Depression;Anxiety / Panic attacks;Self harm tendencies;Anger;Bipolar disorder,No,3,5,No,Yes,Consulted doctor and took help of medication,No,Yes,No,Yes,Very negatively,Same,Neutral,No,No,No
2025/10/12 1:35:43 am GMT+5:30,24,Male,Teacher,Maharashtra,Marathi,SCHOOL OF BUSINESS,MBA,Academic;Family;Love/Relationship;Health issues,Depression;Anxiety / Panic attacks;Stress;Sleep issues,No,7,4,No,Yes,Consulted doctor and took help of medication,No,Yes,No,Maybe,Negatively,Same,Neutral,No,No,No
2025/10/12 1:50:40 am GMT+5:30,32,Male,Police,Delhi,Hindi,SCHOOL OF EDUCATION,B.A HISTORY,Family;Love/Relationship;Friendship/social circles,Depression;Stress;Sleep issues,No,5,4,No,Yes,Consulted doctor and took help of medication,No,Yes,Yes,Maybe,Negatively,Same,Not very helpful,No,No,No
2025/10/12 1:51:58 am GMT+5:30,22,Female,Self employed,West Bengal,Bengali,Not applicable,Not applicable,Academic;Family;Love/Relationship;Friendship/social circles;Health issues;Physical appearance;Sexuality and identity;Societal culture and discrimination;Religious and cultural traditions;Negative experiences (bully/harrasment),Depression;Anxiety / Panic attacks;Stress;Low self esteem/motivation;Phobias;Anger;Obsessive compulsive disorder (OCD);Bipolar disorder;Post traumatic stress disorder,Music,9,5,Stress of my work,"When I鈥檓 going through tough moments, I鈥檇 want others to listen without judging or interrupting 鈥� sometimes I just need to vent.",Consulted doctor and took help of medication,"I started prioritizing self-care 鈥� taking breaks, journaling, going for walks, and talking openly with people I trust. I also learned to set boundaries and focus on small daily habits that made me feel grounded","I鈥檝e realized that life is unpredictable but still worth living. Pain doesn鈥檛 last forever, and every phase teaches something valuable. Now I appreciate small joys more and don鈥檛 take peace of mind for granted.","I focused on breathing techniques, grounding exercises, and reminding myself that the feeling would pass. Seeking help and talking to supportive people also made a huge difference.",Yes,Very positively,Much more effective,Extremely helpful,"Yes, at times AI responses felt a bit stereotypical 鈥� assuming certain emotions, roles, or preferences based on gender. It sometimes lacked emotional sensitivity or personalization","AI should respond in a more understanding and human way 鈥� not just by giving information, but by acknowledging emotions. It should use comforting words, show empathy, and try to understand the user鈥檚 tone or mood before replying. A gentle, patient, and emotionally aware response would help users feel heard and supported.
","No matter how heavy things feel right now, it won鈥檛 always be this way. Healing isn鈥檛 linear 鈥� some days you鈥檒l move forward, some days you鈥檒l just hold on, and that鈥檚 okay. Be proud of every little step, believe in your strength, and remember 鈥� you matter more than you think. 馃挍"
2025/10/12 1:52:14 am GMT+5:30,27,Male,Student,Bihar,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH CSE (ROBOTICS & ARTIFICIAL INTELLIGENCE),Academic;Love/Relationship;Sexuality and identity;Work,Depression;Anxiety / Panic attacks;Stress;Sleep issues;Low self esteem/motivation,No,7,4,No,Yes,No,Yes,Yes,No,Maybe,Positively,Same,Neutral,No,No,No
2025/10/12 1:54:17 am GMT+5:30,25,Female,College Students,Jharkhand,Hindi,SCHOOL OF BUSINESS,MBA,Academic;Family;Love/Relationship;Friendship/social circles;Health issues,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Sleep issues,Yes,4,5,No,Yes,Consulted doctor and took help of medication,No,Yes,No,Maybe,Positively,Somewhat effective,Not very helpful,Yes,No,Yse
2025/10/12 1:56:04 am GMT+5:30,28,Male,Student,Bihar,Hindi,SCHOOL OF EDUCATION,B.SC PSYCHOLOGY,Academic;Family;Love/Relationship;Friendship/social circles;Health issues,Depression;Anxiety / Panic attacks;Stress;Self harm tendencies;Sleep issues,No,9,4,No,Yes,No,Yes,Yes,No,No,Negatively,Less effective,Not very helpful,No,No,Yes
2025/10/12 2:20:19 am GMT+5:30,19,Female,student,Maharashtra,Hindi,Not applicable,B. TECH COMPUTER SCIENCE ENGINEERING (ARTIFICIAL ENGINEERING & MACHINE LEARNING),Academic;Family;Love/Relationship;Friendship/social circles;Sexuality and identity;Societal culture and discrimination;Unequal freedom in choosing career paths;Double standards in freedom;Financial independence;Media or social representation;Overthinking/isolation/self-worth struggles,Stress;Self harm tendencies;Sleep issues;Low self esteem/motivation;Anger,Cricket,8,4,"Overthinking and feeling misunderstood, along with pressure to meet expectations.","I wish for someone who listens without judgment, offers reassurance, and simply stays present instead of trying to fix everything.",Consulted doctor but didn't take medication help,"I focused on self-care鈥攋ournaling, meditation, taking breaks from social media, and spending time in nature. I also started expressing my feelings more openly.","I feel stronger and more grateful. Life still has ups and downs, but I鈥檝e learned that healing takes time and that peace is built slowly through acceptance.","I practiced slow breathing, grounding exercises, and reminded myself that the feeling would pass. Talking to a trusted friend helped too.",Maybe,Positively,Somewhat effective,Somewhat helpful,"Not personally, but sometimes AI feels too formal or detached instead of emotionally understanding.","It should respond with more empathy, warmth, and reassurance instead of giving generic advice.","Healing isn鈥檛 linear. Take one day at a time, talk about how you feel, and remember鈥攜our story doesn鈥檛 end in your darkest chapter. 馃尰"
2025/10/12 2:30:47 am GMT+5:30,30,Male,self employed,Karnataka,Telugu,Not applicable,M.A JOURNALISM & MASS COMMUNICATION,Academic;Family;Friendship/social circles;Physical appearance;Sexuality and identity;Unequal freedom in choosing career paths;Double standards in freedom;Religious and cultural traditions;Media or social representation;Work,Depression;Stress;Sleep issues;Anger,GYM AND JOURNALING,6,3,so much stress in life,Someone who listens quietly,No,making myself happy in small things,life is all about ups and downs...u have to know the art to deal with it,Focused on deep breathing,No,Neutral,Same,Neutral,mandatory job for a male,more human warmth,"keep doing , you are doing fine"
2025/10/12 2:50:04 am GMT+5:30,21,Male,student,Haryana,Hindi,Not applicable,B.B.A.LLB(HONS),Love/Relationship;Friendship/social circles;Societal culture and discrimination;Unequal freedom in choosing career paths;Double standards in freedom;Financial independence;Overthinking/isolation/self-worth struggles,Anxiety / Panic attacks;Stress;Sleep issues;Anger;Obsessive compulsive disorder (OCD),reading psychology books,5,3,Academic pressure and comparison with others.,Someone who simply listens and assures me that I鈥檓 doing fine.,No,"I started working out, maintaining a study routine, and journaling my thoughts.",I鈥檝e learned that failures don鈥檛 define me 鈥� consistency does.,I used deep breathing and grounding by naming five things around me.,Maybe,Neutral,Somewhat effective,Somewhat helpful,none noticed,"AI could use warmer, empathetic words instead of robotic replies",Even slow progress is still progress. Keep going.
2025/10/12 3:39:16 am GMT+5:30,22,Male,Student,West Bengal,Hindi,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Family,Anxiety / Panic attacks;Phobias,"Mother,Friends",1,5,Death of close ones,Seek help from therapists and keep myself busy in working,Consulted doctor and took help of medication,Watching motivational videos,People should move on with time,I just write something that comes in my mind,No,Positively,Much more effective,Somewhat helpful,Sometimes AI thinks it's much easier for boys to overcome any situation rather than girls and give responses according to gender,It should not be gender biased,Life is full of pros and cons
2025/10/12 5:11:05 am GMT+5:30,25,Male,marketing executive,Gujarat,Gujarati,Not applicable,B.COM,Love/Relationship;Friendship/social circles;Physical appearance;Double standards in freedom;Religious and cultural traditions;Financial independence,Depression;Stress;Low self esteem/motivation;Bipolar disorder,conversation with parents,8,4,Workload and uncertainty about future.,Someone who reassures me that I鈥檓 not alone.,Consulted doctor but didn't take medication help,"Limited caffeine, improved sleep, and took small breaks",I see challenges as temporary now.,Used guided meditation and counted breaths,Maybe,Negatively,Less effective,Not very helpful,Replies felt repetitive.,AI should remember emotional context in long chats,Nothing changes overnight 鈥� patience heals.
2025/10/12 5:20:17 am GMT+5:30,22,Male,college student,Punjab,Punjabi,SCHOOL OF LIFE SCIENCE AND BIOTECHNOLOGY,B. TECH BIOTECHNOLOGY,Family;Physical appearance;Societal culture and discrimination;Financial independence;Overthinking/isolation/self-worth struggles;Work,Stress;Sleep issues;Loneliness,"escape into the nature , travelling to hilly areas",6,3,"academic stress , parental pressure , fear of failure",no help,No,"Exercise, early sleep, and digital detox",Failure is part of learning.,"Walked outdoors, took deep breaths.",Maybe,Neutral,Somewhat effective,Somewhat helpful,prioritize women more than men,Should feel more personal,Keep faith 鈥� you鈥檒l get through.
2025/10/12 5:26:46 am GMT+5:30,32,Male,accountant,Uttar Pradesh,Bengali,Not applicable,B.COM,Family;Love/Relationship;Health issues;Financial independence;Work,Stress;Sleep issues;Low self esteem/motivation;Anger,playing basketball,6,4,Financial stress,Calm reassurance from family.,Consulted doctor but didn't take medication help,"Morning walks, time with pets, reading books",I鈥檝e learned to live one day at a time,Listened to slow music and slowed breathing.,No,Neutral,Much Less effective,Not very helpful,too factual,"Softer, caring tone",Don鈥檛 be too hard on yourself.
2025/10/12 5:32:22 am GMT+5:30,21,Male,college student,Delhi,Hindi,SCHOOL OF MEDIA AND COMMUNICATION,M.A ENGLISH LANGUAGE & LITERATURE,Academic;Friendship/social circles;Societal culture and discrimination;Double standards in freedom;Financial independence;Overthinking/isolation/self-worth struggles,Depression;Stress;Self harm tendencies;Sleep issues;Low self esteem/motivation;Phobias;Post traumatic stress disorder,playing video games,9,5,Feeling unheard.,Just being listened to matters,No,"Shared more with friends, practiced mindfulness.",Communication is healing.,Called a friend and talked it out.,No,Positively,Same,Neutral,none,Should follow emotional flow,Talking helps 鈥� always.
2025/10/12 10:48:29 am GMT+5:30,20,Female,Student,Sikkim,Bengali,SCHOOL OF ENGINEERING AND TECHNOLOGY,B. TECH COMPUTER SCIENCE ENGINEERING,Physical appearance,Anxiety / Panic attacks,Family,1,5,Racism,Seek advice from others to know how to handle the situation,Consulted doctor and took help of medication,Keep myself busy in work and take therapy,This world is included with different mindset of people so it's better not to focus on them,Take help from my closest one,No,Positively,Somewhat effective,Somewhat helpful,I have experienced AI thinks racism happens more when the person is female so they give advices more positively to overcome the situation,Should give much more effective responses according to the situation,Different type of people existed so just let them judge and focus on yourself
2025/10/12 11:00:58 am GMT+5:30,21,Male,Student,Jharkhand,Hindi,SCHOOL OF HEALTH AND MEDICAL SCIENCES,B.SC MEDICAL LABORATORY TECHNOLOGY,Academic;Family;Societal culture and discrimination,Stress;Sleep issues;Low self esteem/motivation;Anger,Spending time with animals,4,2,"Non supportive environment during dropout, looking down at myself, failure, sleeping issues ",A bit supportive and caring and understanding,No,Tried keeping myself busy,It didn't matter much,Not faced,No,Neutral,Less effective,Somewhat helpful,Bit practical response instead of emotional,Response with emotions rather than practicality at breakdown moments,Stay strong
2025/10/12 11:02:24 am GMT+5:30,25,Female,Student,Manipur,Mainpuri,SCHOOL OF BUSINESS,BBA,Societal culture and discrimination,Depression;Low self esteem/motivation,"Family,friends",2,5,Racism coming from outside northeast India,"Seek help from close ones,listen musics",Consulted doctor and took help of medication,Continuously motivate myself and seek therapy,People have different mindset and perspective in life so just let them think whatever they want,Seek help from close people,Maybe,Very positively,Somewhat effective,Somewhat helpful,some AI thinks it's common to face racism as a north eastern girl in India so they respond as it's very normal thing as a girl to overcome,Remove gender biasness,Take motivation and go ahead don't let people change your mindset
2025/10/12 11:10:17 am GMT+5:30,19,Female,Student,Tripura,Bengali,SCHOOL OF LAW AND JUSTICE,B.B.A.LLB(HONS),Friendship/social circles;Double standards in freedom;Media or social representation,Depression;Loneliness;Low self esteem/motivation,Social media,5,4,"Lonely, toxic people and society ",Loving caring understanding,No,Nothing,Not over,Nop,Maybe,Neutral,Somewhat effective,Somewhat helpful,Nothing,It matched with my emotions so it's okay,Be kind and loving
2025/10/12 11:19:51 am GMT+5:30,23,Male,Student,Arunachal Pradesh,Assamese,SCHOOL OF MEDIA AND COMMUNICATION,"B.SC (GRAPHICS, ANIMATION & MEDIA TECHNLOGY)",Societal culture and discrimination,Anxiety / Panic attacks,"Family,friends",1,5,Racism from different state in India specially from Delhi,Watch motivational videos,Consulted doctor and took help of medication,Take therapy,People should not care about what others are judging about,"Spending time with family, friends",Maybe,Positively,Somewhat effective,Neutral,Gender biasness specially AI respond less as a male user as they think we face less racism rather than female,Remove gender biasness,No one can judge you for being too much fair or black it does not define you from inside
2025/10/12 11:20:09 am GMT+5:30,21,Male,Student,Odisha,Odia,SCHOOL OF SMART AGRICULTURE,B.SC(HONS) AGRICULTURE,Health issues;Double standards in freedom;Financial independence,Stress;Self harm tendencies;Sleep issues;Phobias,Gym,7,2,"Health, societal remarks ",Quality time,No,Workout and healthy food,Still going,No,No,Neutral,Less effective,Somewhat helpful,Don't talk much,More security and flexibility,Keep working hard.
2025/10/12 11:31:42 am GMT+5:30,28,Female,Assistant Professor,West Bengal,Bengali,Not applicable,Not applicable,Academic;Family;Love/Relationship;Friendship/social circles;Health issues;Physical appearance;Negative experiences (bully/harrasment);Work,Depression;Stress;Loneliness;Low self esteem/motivation;Anger,My room,7,3,"My work pressure and academic pressure, less friendzone ",Relax inhale and exhale,No,"Relax and sleep, watching phone ",Don't know,No,No,Neutral,Less effective,Neutral,No,No,NA
2025/10/12 11:32:35 am GMT+5:30,20,Male,Student,Bihar,Hindi,SCHOOL OF BUSINESS,MBA,Academic,Anxiety / Panic attacks,Friends,7,4,No,Yes,Consulted doctor and took help of medication,No,Yes,No,Maybe,Negatively,Less effective,Not very helpful,No,Yes,No
